arr_port^pax^Airport_Name
LHR     ^88809.0^London Heathrow Airport
MFE     ^980.0^McAllen Miller International Airport
ITO     ^980.0^Hilo International Airport
ECP     ^980.0^Northwest Florida Beaches International Airport
EAM     ^980.0^Najran Airport
ADA     ^980.0^Adana Şakirpaşa Airport
YMM     ^970.0^Fort McMurray Airport
RBA     ^970.0^Rabat-Salé Airport
ZNZ     ^970.0^Abeid Amani Karume International Airport
GLT     ^960.0^Gladstone Airport
PUF     ^960.0^Pau Pyrénées Airport
EBL     ^960.0^Erbil International Airport
LBV     ^960.0^Libreville Airport
MJT     ^950.0^"Mytilene International Airport ""Odysseas Elytis"""
TIV     ^950.0^Tivat Airport
LWO     ^950.0^Lviv International Airport
BRS     ^950.0^Bristol Airport
POZ     ^950.0^Poznań-Ławica Airport
MID     ^940.0^Manuel Crescencio Rejón International Airport
NAG     ^940.0^Dr. Babasaheb Ambedkar International Airport
CEK     ^940.0^Chelyabinsk Airport
KRS     ^940.0^Kristiansand Airport, Kjevik
JMK     ^920.0^Mikonos Island, Mikonos Airport
BIA     ^920.0^Bastia-Poretta
MIR     ^920.0^Monastir Habib Bourguiba International Airport
NAT     ^920.0^Greater Natal International Airport
HLA     ^920.0^Lanseria International Airport
BJM     ^920.0^Bujumbura International Airport
UFA     ^910.0^Ufa International Airport
PSA     ^910.0^Pisa International Airport
EUG     ^910.0^Mahlon Sweet Field Airport
OUA     ^910.0^Ouagadougou Airport
LLW     ^910.0^Lilongwe International Airport
FSC     ^910.0^Figari - Sud-Corse
PUQ     ^900.0^Presidente Carlos Ibáñez del Campo International Airport
NSI     ^900.0^Yaounde
TRZ     ^900.0^Tiruchirappalli International Airport
MAO     ^900.0^Eduardo Gomes International Airport
MZT     ^890.0^General Rafael Buelna International Airport
YXE     ^890.0^Saskatoon John G. Diefenbaker International Airport
TSR     ^890.0^Timișoara Traian Vuia International Airport
REG     ^890.0^Reggio Calabria Airport
FUK     ^890.0^Fukuoka Airport
CKG     ^890.0^Chongqing Jiangbei International Airport
AVL     ^890.0^Asheville Regional Airport
LFT     ^890.0^Lafayette Regional Airport
ITM     ^880.0^Osaka International Airport
SUB     ^880.0^Juanda International Airport
CRW     ^880.0^Yeager Airport
CGO     ^880.0^Zhengzhou Xinzheng International Airport
ABE     ^880.0^Lehigh Valley International Airport
MLI     ^880.0^Quad City International Airport
SFA     ^870.0^Sfax–Thyna International Airport
IXM     ^870.0^Madurai Airport
FOR     ^870.0^Pinto Martins – Fortaleza International Airport
MLB     ^870.0^Melbourne International Airport
ZIH     ^870.0^Ixtapa-Zihuatanejo International Airport
CRP     ^860.0^Corpus Christi International Airport
CHO     ^860.0^Charlottesville-Albemarle Airport
SHV     ^860.0^Shreveport Regional Airport
VAA     ^860.0^Vaasa Airport
SID     ^850.0^Amílcar Cabral International Airport
DED     ^850.0^Jolly Grant Airport
KRN     ^850.0^Kiruna Airport
MMK     ^850.0^Murmansk Airport
KKC     ^850.0^Khon Kaen Airport
CID     ^850.0^The Eastern Iowa Airport
SDK     ^850.0^Sandakan Airport
BBI     ^850.0^Biju Patnaik International Airport
VIX     ^850.0^Eurico de Aguiar Salles Airport
HAU     ^840.0^Haugesund Airport, Karmøy
GRB     ^840.0^Austin Straubel International Airport
PBO     ^840.0^Paraburdoo Airport
SLL     ^840.0^Salalah Airport
IXU     ^840.0^Aurangabad Airport
LBB     ^840.0^Lubbock International Airport
RAI     ^840.0^Praia International Airport
GRK     ^830.0^Killeen-Fort Hood Regional Airport
SLP     ^830.0^Ponciano Arriaga International Airport
KZN     ^820.0^Kazan International Airport
FWA     ^820.0^Fort Wayne International Airport
SHJ     ^820.0^Sharjah International Airport
JUB     ^820.0^Juba Airport
GPS     ^820.0^Seymour Airport
PSO     ^810.0^Pasto / Antonio Narin
AAL     ^810.0^Aalborg Airport
PHC     ^810.0^Port Harcourt International Airport
AAE     ^810.0^Rabah Bitat Annaba Airport
AGU     ^810.0^Lic. Jesús Terán Peredo International Airport
PNR     ^810.0^Pointe Noire Airport
MSU     ^800.0^Maseru / Moshoeshoe
GRJ     ^800.0^George Airport
BHO     ^800.0^Raja Bhoj International Airport
VFA     ^790.0^Victoria Falls Airport
GUW     ^790.0^Atyrau Airport
MKY     ^790.0^Mackay Mo
TSA     ^790.0^Taipei Songshan Airport
DAD     ^790.0^Da Nang International Airport
APW     ^780.0^Faleolo International Airport
CLJ     ^780.0^Cluj-Napoca International Airport
TRS     ^780.0^Trieste – Friuli Venezia Giulia Airport
MAF     ^780.0^Midland International Airport
BRM     ^770.0^Jacinto Lara International Airport
AHO     ^770.0^Alghero-Fertilia Airport
XIY     ^770.0^Xi'an Xianyang International Airport
EGE     ^770.0^Eagle County Regional Airport
ATW     ^770.0^Appleton International Airport
FAR     ^770.0^Hector International Airport
BSR     ^770.0^Basra International Airport
BJA     ^770.0^Bejaia Airport
SPC     ^760.0^La Palma Airport
LBA     ^760.0^Leeds Bradford International Airport
TJM     ^760.0^Roshchino International Airport
AEX     ^750.0^Alexandria International Airport
OMS     ^750.0^Tsentralny Airport
AES     ^750.0^Ålesund Airport, Vigra
WNZ     ^750.0^Wenzhou Yongqiang International Airport
HAS     ^740.0^Ha'il Regional Airport
UME     ^740.0^Umeå Airport
OAX     ^730.0^Oaxaca - Xoxocotlán International Airport
KCH     ^730.0^Kuching International Airport
BIS     ^720.0^Bismarck Municipal Airport
LGK     ^720.0^Langkawi International Airport
GRZ     ^720.0^Graz Airport
XRY     ^720.0^Jerez Airport
GBE     ^710.0^Seretse Khama International Airport
AVP     ^710.0^Wilkes-Barre/Scranton International Airport
NNG     ^710.0^Nanning Airport
TNG     ^710.0^Tangier Ibn Battouta Airport
ACA     ^700.0^General Juan N. Álvarez International Airport
VLN     ^700.0^Arturo Michelena International Airport
CRD     ^700.0^General Enrique Mosconi International Airport
MFR     ^700.0^Rogue Valley International - Medford Airport
CEI     ^700.0^Mae Fah Luang-Chiang Rai International Airport
TUC     ^690.0^Teniente General Benjamín Matienzo International Airport
GNV     ^690.0^Gainesville Regional Airport
BJL     ^690.0^Banjul International Airport
BDQ     ^690.0^Vadodara Airport
DRO     ^690.0^Durango–La Plata County Airport
PKC     ^690.0^Yelizovo Airport
TLN     ^690.0^Toulon-Hyères Airport
IXZ     ^690.0^Veer Savarkar International Airport
TLM     ^680.0^Tlemcen Zenata
IAS     ^680.0^Iași International Airport
GYN     ^680.0^Santa Genoveva / Goiânia Airport
GJT     ^680.0^Grand Junction Regional Airport
GOJ     ^680.0^Nizhny Novgorod International Airport
NKC     ^670.0^Nouakchott Airport
TRF     ^670.0^Sandefjord Airport, Torp
IPC     ^670.0^Mataveri International Airport
KGI     ^670.0^Kalgoorlie-Boulder Airport
LAN     ^670.0^Lansing, Capital City Airport
SMS     ^670.0^Sainte-Marie Aerodrome
LLA     ^660.0^Luleå Airport
FNA     ^660.0^Freetown-Lungi International Airport
MRY     ^660.0^Monterey Regional Airport
BMI     ^660.0^Central Illinois Regional Airport at Bloomington-Normal
JDH     ^650.0^Jodhpur Airport
SXR     ^650.0^Srinagar International Airport
SXF     ^650.0^Berlin Schönefeld Airport
QRO     ^650.0^Querétaro Intercontinental Airport
ASP     ^650.0^Alice Springs Airport
MHD     ^650.0^Mashhad International Airport
AGS     ^650.0^Augusta Regional Airport
CIX     ^640.0^Cap. FAP José A. Quiñones Gonzáles International Airport
DLM     ^640.0^Dalaman Airport
CFE     ^640.0^Clermont-Ferrand Auvergne Airport
RMA     ^630.0^Roma
SKT     ^620.0^Sialkot International Airport
CFU     ^620.0^"Corfu International Airport, ""Ioannis Kapodistrias"""
LPQ     ^620.0^Luang Prabang International Airport
BHJ     ^620.0^Bhuj Airport
BFN     ^620.0^Bloemfontein Airport
ZWS     ^620.0^Stuttgart Hauptbahnhof
OZZ     ^620.0^Ouarzazate Airport
CGQ     ^610.0^Changchun Longjia International Airport
RVN     ^610.0^Rovaniemi Airport
ARH     ^610.0^Arkhangelsk Talagi Airport
OUL     ^610.0^Oulu Airport
VRA     ^610.0^Juan Gualberto Gómez International Airport
SSG     ^610.0^Malabo International Airport
RAR     ^610.0^Rarotonga International Airport
TGZ     ^610.0^Ángel Albino Corzo International Airport
POP     ^610.0^Puerto Plata Airport
PIA     ^610.0^General Downing - Peoria International Airport
SBZ     ^610.0^Sibiu International Airport
BGR     ^600.0^Bangor International Airport
RST     ^600.0^Rochester, Rochester International Airport
ADE     ^600.0^Aden Airport
BQN     ^600.0^Rafael Hernandez Airport
EYP     ^600.0^El Alcaraván Airport
TKU     ^600.0^Turku Airport
PEE     ^600.0^Perm International Airport
TIF     ^600.0^Taif Regional Airport
MQP     ^600.0^Kruger Mpumalanga International Airport
LNK     ^600.0^Lincoln Municipal Airport
SFJ     ^600.0^Kangerlussuaq Airport
IXR     ^590.0^Birsa Munda Airport
DNK     ^590.0^Dnipropetrovsk International Airport
UUS     ^590.0^Yuzhno-Sakhalinsk Airport
CUL     ^590.0^Federal de Bachigualato International Airport
ECN     ^590.0^Ercan International Airport
AXM     ^590.0^Armenia / El Eden
SCO     ^580.0^Aktau Airport
MOT     ^580.0^Minot International Airport
QSF     ^580.0^Ain Arnat Airport
OAJ     ^580.0^Albert J Ellis Airport
VLI     ^580.0^Port Vila - Bauerfield International Airport
MLH     ^580.0^EuroAirport Basel–Mulhouse–Freiburg
VDE     ^580.0^El Hierro Airport
SKB     ^580.0^Robert L. Bradshaw International Airport
CJS     ^570.0^Abraham González International Airport
TER     ^570.0^Lajes Field
NLA     ^570.0^Ndola Airport
WUH     ^570.0^Wuhan Tianhe International Airport
AJF     ^570.0^Al-Jawf Domestic Airport
BME     ^570.0^Broome International Airport
HHH     ^570.0^Hilton Head Airport
RTM     ^570.0^Rotterdam The Hague Airport
YYG     ^570.0^Charlottetown Airport
SBN     ^570.0^South Bend International Airport
EIS     ^560.0^Terrance B. Lettsome International Airport
MSO     ^560.0^Missoula International Airport
IKT     ^560.0^Irkutsk Airport
ISA     ^560.0^Mount Isa Airport
YQT     ^550.0^Thunder Bay International Airport
EVV     ^550.0^Evansville Regional Airport
RNS     ^550.0^Rennes - Saint-Jacques
ORK     ^550.0^Cork Airport
HDY     ^550.0^Tha Akatsayan Hat Yai
DIY     ^540.0^Diyarbakır Airport
ISP     ^540.0^Long Island Mac Arthur Airport
MOV     ^540.0^Moranbah Airport
QKL     ^540.0^Köln Hauptbahnhof
VOG     ^540.0^Volgograd International Airport
BON     ^540.0^Flamingo International Airport
PMR     ^540.0^Palmerston North Airport
SOU     ^530.0^Southampton / Weather Centre
RTB     ^530.0^Juan Manuel Gálvez International Airport
IMF     ^530.0^Imphal International Airport
YQM     ^530.0^Greater Moncton International Airport
DZA     ^530.0^Dzaoudzi Pamandzi International Airport
NTL     ^530.0^Newcastle Airport
ROK     ^530.0^Rockhampton Airport
YNB     ^520.0^Yanbu Airport
LXR     ^520.0^Luxor Airport
LGQ     ^520.0^Nueva Loja Airport
LSC     ^510.0^La Florida Airport
KIM     ^510.0^Kimberly Airport
NVA     ^510.0^Benito Salas Airport
MUN     ^510.0^José Tadeo Monagas International Airport
CAY     ^510.0^Cayenne-Rochambeau
NIM     ^510.0^Diori Hamani International Airport
FBM     ^500.0^Lubumbashi International Airport
PUY     ^500.0^Pula Airport
AAR     ^500.0^Aarhus Airport
ZLO     ^500.0^Playa de Oro International Airport
BNS     ^500.0^Barinas Airport
TRC     ^500.0^Francisco Sarabia International Airport
BFL     ^500.0^Meadows Field Airport
JNU     ^500.0^Juneau International Airport
LVI     ^500.0^Livingstone Airport
MGM     ^500.0^Dannelly Field
FNT     ^500.0^Bishop International Airport
GCI     ^500.0^Guernsey Airport
ASW     ^500.0^Aswan International Airport
KIS     ^500.0^Kisumu Airport
ARI     ^490.0^Chacalluta Arica Airport
NQN     ^490.0^Presidente Perón International Airport
ZCO     ^490.0^La Araucanía International Airport
FMO     ^490.0^Münster Osnabrück International Airport
GND     ^480.0^Maurice Bishop International Airport
TPP     ^480.0^Tarapoto
MWZ     ^480.0^Mwanza Airport
MUB     ^480.0^Maun Airport
KGS     ^480.0^Kos Airport
KSU     ^480.0^Kristiansund Airport, Kvernberget
RCH     ^480.0^Almirante Padilla Airport
LEI     ^470.0^Almería Airport
INN     ^470.0^Innsbruck Airport
TCQ     ^470.0^Coronel FAP Carlos Ciriani Santa Rosa International Airport
TRI     ^470.0^Tri-Cities Regional TN/VA Airport
SBW     ^460.0^Sibu Airport
DLH     ^460.0^Duluth International Airport
OKA     ^460.0^Naha Airport
JKH     ^460.0^Chios Island National Airport
CFS     ^450.0^Coffs Harbour Airport
YFC     ^450.0^Fredericton International Airport
TET     ^450.0^Chingozi Airport
CSX     ^450.0^Changsha Huanghua International Airport
KSC     ^450.0^Košice International Airport
LNZ     ^450.0^Linz Airport
ELQ     ^450.0^Prince Nayef bin Abdulaziz Regional Airport
SBH     ^450.0^Gustaf III Airport
YXU     ^450.0^London International Airport
KTW     ^440.0^Katowice International Airport
UKK     ^440.0^Oskemen Airport
DVO     ^440.0^Francisco Bangoy International Airport
TAM     ^430.0^General Francisco Javier Mina International Airport
AZO     ^430.0^Kalamazoo-Battle Creek International Airport
TLC     ^430.0^Licenciado Adolfo López Mateos International Airport
ELM     ^430.0^Elmira/Corning Regional Airport
JUL     ^430.0^Inca Manco Cápac International Airport
GTF     ^430.0^Great Falls International Airport
TVC     ^430.0^Cherry Capital Airport
NJF     ^430.0^Al Najaf International Airport
YNT     ^430.0^Yantai Penglai International Airport
SLW     ^430.0^Plan de Guadalupe International Airport
DYU     ^430.0^Dushanbe International Airport
SDR     ^430.0^Santander Airport
AXU     ^420.0^Axum Airport
VXE     ^420.0^Cesária Évora Airport
HRB     ^420.0^Harbin Taiping International Airport
RDM     ^420.0^Roberts Field-Redmond Municipal Airport
HTI     ^420.0^Great Barrier Reef Airport
LDB     ^420.0^Londrina Aeroporto
MEC     ^420.0^Eloy Alfaro International Airport
CPE     ^420.0^Ing. Alberto Acuña Ongay International Airport
UBP     ^420.0^Ubon Ratchathani Airport
BHI     ^410.0^Comandante Espora Airport
CME     ^410.0^Ciudad del Carmen International Airport
IBE     ^410.0^Perales Airport, El Salado
DGO     ^410.0^Durango International Airport
LST     ^410.0^Launceston Airport
POL     ^410.0^Pemba Airport
MLN     ^410.0^Melilla Airport
YUM     ^410.0^Yuma International Airport
EMD     ^410.0^Emerald Airport
BRO     ^410.0^Brownsville-South Padre Island International Airport
TIR     ^410.0^Tirupati Airport
ROB     ^400.0^Roberts International Airport
MLU     ^400.0^Monroe Regional Airport
NUX     ^400.0^Novy Urengoy Airport
GET     ^400.0^Geraldton Airport
KBR     ^400.0^Kota Bharu Airport
TMP     ^400.0^Tampere–Pirkkala Airport
LYR     ^400.0^Svalbard Airport, Longyear
RZE     ^400.0^Rzeszów–Jasionka Airport
TBP     ^390.0^Tumbes Airport
DHN     ^390.0^Dothan Regional Airport
CPR     ^390.0^Casper–Natrona County International Airport
CPC     ^390.0^Chapelco - Aviador Carlos Campos Airport
MRA     ^390.0^Misratah Airport
LTN     ^390.0^Luton Airport
BWN     ^390.0^Brunei Airport
LBU     ^390.0^Labuan Airport
SDL     ^390.0^Sundsvall-Timrå Airport
ADQ     ^390.0^Kodiak Benny Benson State Airport
BJR     ^390.0^Bahir Dar Airport
ROT     ^390.0^Rotorua Airport
IXS     ^390.0^Silchar Airport
ETH     ^390.0^Eilat Airport
ITH     ^380.0^Ithaca Tompkins Regional Airport
OCC     ^380.0^Francisco De Orellana Airport
YNJ     ^380.0^Yanji Chaoyangchuan Airport
ASR     ^380.0^Kayseri Erkilet Airport
NPL     ^380.0^New Plymouth Airport
LAE     ^380.0^Lae Nadzab Airport
NPE     ^380.0^Hawke's Bay Airport
PDP     ^380.0^Capitán de Corbeta Carlos A. Curbelo International Airport
VUP     ^380.0^Valledupar / Alfonso Lopez
NBC     ^380.0^Begishevo Airport
TSN     ^380.0^Tianjin Binhai International Airport
TNA     ^380.0^Jinan Yaoqiang International Airport
EJA     ^370.0^Yariguíes Airport
LFW     ^370.0^Lomé–Tokoin Airport
IVL     ^370.0^Ivalo Airport
FLO     ^370.0^Florence Regional Airport
SCE     ^370.0^Penn State University Park Airport
RKT     ^370.0^Ras Al Khaimah International Airport
FRO     ^360.0^Florø Airport
YQQ     ^360.0^Comox Valley Airport
HFT     ^360.0^Hammerfest Airport
JUJ     ^360.0^Gobernador Horacio Guzmán International Airport
SCU     ^360.0^Antonio Maceo International Airport
STN     ^360.0^London Stansted Airport
STX     ^360.0^Henry E Rohlsen Airport
BEL     ^350.0^Belém/Val de Cans–Júlio Cezar Ribeiro International Airport
NDJ     ^350.0^N'Djamena International Airport
JIB     ^350.0^Djibouti–Ambouli International Airport
HRL     ^350.0^Rio Grande Valley International Airport
SYX     ^350.0^Sanya Phoenix International Airport
YQU     ^350.0^Grande Prairie Airport
XFW     ^350.0^Hamburg Finkenwerder Airport
AJL     ^350.0^Aizawl Lengpui Airport
XER     ^350.0^Strasbourg Bus Station
EAS     ^350.0^San Sebastián Airport
SEB     ^350.0^Sebha
IXL     ^350.0^Kushok Bakula Rimpochhe Airport
FLG     ^350.0^Flagstaff Pulliam Airport
BHE     ^350.0^Woodbourne Airport
BET     ^340.0^Bethel Airport
GGT     ^340.0^George Town Exuma International Airport
GFK     ^340.0^Grand Forks International Airport
SMI     ^340.0^Samos Aristarchos International Airport
PAZ     ^340.0^El Tajín National Airport
EOH     ^340.0^Olaya Herrera Airport
MZL     ^340.0^La Nubia Airport
YXJ     ^340.0^Fort St. John Airport
STD     ^340.0^Mayor Buenaventura Vivas Airport
SAF     ^340.0^Santa Fe Municipal Airport
PEM     ^340.0^Puerto Maldonado
CJU     ^340.0^Jeju International Airport
NWI     ^340.0^Norwich International Airport
CIT     ^340.0^Shymkent International Airport
CRK     ^340.0^Clark International Airport
YCD     ^330.0^Nanaimo Airport
TOF     ^330.0^Tomsk Bogashevo Airport
HGU     ^330.0^Mount Hagen Airport
MUX     ^330.0^Multan International Airport
KKN     ^330.0^Kirkenes
GZT     ^330.0^Gaziantep Oğuzeli International Airport
YXS     ^330.0^Prince George Airport
HME     ^330.0^Oued Irara-Krim Belkacem Airport
UTH     ^330.0^Udon Thani International Airport
CSG     ^330.0^Columbus Airport
SPN     ^330.0^Francisco C. Ada International Airport
EWN     ^330.0^Coastal Carolina Regional Airport
ASF     ^330.0^Astrakhan/Narimanovo Airport
NJC     ^320.0^Nizhnevartovsk Airport
PQQ     ^320.0^Port Macquarie Airport
KTT     ^320.0^Kittilä Airport
BHH     ^320.0^Bisha
EVE     ^320.0^Harstad/Narvik Airport, Evenes
PLQ     ^320.0^Palanga International Airport
SWF     ^320.0^Stewart International Airport
ALH     ^320.0^Albany Aerodrome
IXJ     ^310.0^Jammu Airport
MLM     ^310.0^General Francisco J. Mujica International Airport
INV     ^310.0^Inverness Dalcross Airport
VGA     ^310.0^Vijayawada Airport
SGC     ^310.0^Surgut International Airport
TWU     ^310.0^Tawau Airport
IXA     ^310.0^Agartala Airport
LEA     ^310.0^Learmonth
ABS     ^310.0^Abu Simbel Airport
AKX     ^310.0^Aktobe International Airport
PGF     ^310.0^Perpignan–Rivesaltes Airport
KUO     ^310.0^Kuopio Airport
VIL     ^310.0^Dakhla Airport
LOP     ^300.0^Lombok International Airport
VCP     ^300.0^Viracopos International Airport
YZF     ^300.0^Yellowknife Airport
RNB     ^300.0^Ronneby Airport
BUS     ^300.0^Batumi International Airport
ABX     ^300.0^Albury Airport
SBP     ^300.0^San Luis Obispo County Airport
ABT     ^300.0^Al-Baha Domestic Airport
SCN     ^300.0^Saarbrücken Airport
MQX     ^300.0^Alula Aba Nega Airport
VLD     ^300.0^Valdosta Regional Airport
LYH     ^300.0^Lynchburg Regional Airport
HDN     ^300.0^Yampa Valley Airport
DIB     ^300.0^Dibrugarh Airport
SLZ     ^300.0^Marechal Cunha Machado International Airport
SFT     ^290.0^Skellefteå Airport
QQS     ^290.0^St Pancras International Railway Station
CWA     ^290.0^Central Wisconsin Airport
ILO     ^290.0^Iloilo International Airport
KTN     ^290.0^Ketchikan International Airport
ERI     ^290.0^Erie International Airport
JHM     ^290.0^Kapalua Airport
VBY     ^290.0^Visby Airport
CJA     ^290.0^Cajamarca
ISU     ^290.0^Sulaymaniyah International Airport
PIX     ^290.0^Pico Airport
PPG     ^290.0^Pago Pago International Airport
CLY     ^290.0^Calvi - Sainte-Catherine Airport
BPS     ^290.0^Porto Seguro
REX     ^290.0^General Lucio Blanco International Airport
FSM     ^290.0^Fort Smith Municipal Airport
BTU     ^290.0^Bintulu Airport
BGM     ^290.0^Greater Binghamton Airport
WGA     ^280.0^Wagga Airport
BOB     ^280.0^Bora-Bora Airport
LXS     ^280.0^Limnos Airport
ATZ     ^280.0^Assiut Airport
AXD     ^280.0^Alexandroupoli Airport
AGH     ^280.0^Ängelholm–Helsingborg Airport
KZO     ^280.0^Kyzylorda Airport
PSS     ^280.0^Posadas Airport
CGY     ^280.0^Laguindingan International Airport
URT     ^280.0^Surat Thani Airport
KAO     ^280.0^Kuusamo Airport
YIW     ^270.0^Yiwu Airport
UAQ     ^270.0^Domingo Faustino Sarmiento Airport
NDR     ^270.0^Nador International Airport
UDI     ^270.0^Uberlândia–Ten. Cel. Av. César Bombonato Airport
UTN     ^270.0^Upington Airport
NOZ     ^270.0^Spichenkovo Airport
PAD     ^270.0^Paderborn Lippstadt Airport
YYD     ^270.0^Smithers Airport
TZX     ^270.0^Trabzon Airport
WEH     ^270.0^Weihai Airport
TPS     ^270.0^Vincenzo Florio Airport Trapani-Birgi
LNY     ^270.0^Lanai Airport
TAP     ^270.0^Tapachula International Airport
MAM     ^270.0^General Servando Canales International Airport
LSP     ^270.0^Josefa Camejo International Airport
ASM     ^270.0^Asmara Airport
BCD     ^270.0^Bacolod Silay International Airport
CGR     ^270.0^Campo Grande International Airport
FRS     ^270.0^Mundo Maya Airport
ISN     ^270.0^Sloulin Field International Airport
PFO     ^260.0^Paphos International Airport
LPI     ^260.0^Linköping City Airport
YSB     ^260.0^Greater Sudbury Airport
RYK     ^260.0^Shaikh Zayed International Airport
MTT     ^260.0^Minatitlán/Coatzacoalcos International Airport
KEJ     ^260.0^Kemerovo Airport
TCO     ^260.0^La Florida Airport
SDD     ^260.0^Lubango Airport
CEN     ^260.0^Ciudad Obregón International Airport
ASB     ^260.0^Ashgabat International Airport
HIR     ^250.0^Honiara-Henderson International Airport
SVD     ^250.0^Argyle International Airport
CMI     ^250.0^University of Illinois Willard Airport
BNN     ^250.0^Bronnoysund Bronnoy Airport
MDQ     ^250.0^Astor Piazzolla International Airport
SYZ     ^250.0^Shiraz International Airport
HMB     ^250.0^Sohag International Airport
NGB     ^250.0^Ningbo Lishe International Airport
HAH     ^250.0^Prince Said Ibrahim International Airport
KNX     ^250.0^East Kimberley Regional Airport
PNA     ^250.0^Pamplona Airport
VVC     ^250.0^Villavicencio / Vanguardia
JJN     ^250.0^Quanzhou Jinjiang Airport
RJA     ^250.0^Rajahmundry Airport
IDA     ^250.0^Fanning Field
MTJ     ^250.0^Montrose Regional Airport
ROR     ^240.0^Roman Tmetuchl International Airport
LAW     ^240.0^Lawton–Fort Sill Regional Airport
LAO     ^240.0^Laoag International Airport
AQJ     ^240.0^King Hussein International Airport
MGQ     ^240.0^Aden Adde International Airport
BOJ     ^240.0^Burgas Airport
DMU     ^240.0^Dimapur Airport
SFG     ^240.0^Grand Case - L'Espérance Airport
MOL     ^240.0^Molde Airport, Årø
MCY     ^240.0^Sunshine Coast Airport
NLK     ^240.0^Norfolk Island Airport
CWL     ^240.0^Cardiff Airport
LCH     ^240.0^Lake Charles Regional Airport
JGA     ^240.0^Jamnagar Airport
GWT     ^240.0^Westerland / Sylt
RGI     ^230.0^Rangiroa Airport
NSN     ^230.0^Nelson Airport
CLL     ^230.0^Easterwood Field
WRE     ^230.0^Whangarei Airport
XMB     ^230.0^Dubai Marina Mall Bus Station
RAO     ^230.0^Leite Lopes Airport
GDZ     ^230.0^Gelendzhik Airport
KWL     ^230.0^Guilin Liangjiang International Airport
MOQ     ^230.0^Morondava Airport
KVA     ^230.0^Kavala International Airport
LRM     ^230.0^La Romana International Airport
KLU     ^230.0^Klagenfurt Airport
FEZ     ^230.0^Fes-Saïss Airport
FDH     ^230.0^Friedrichshafen
HLZ     ^230.0^Hamilton International Airport
SDE     ^230.0^Vicecomodoro Ángel de la Paz Aragonés Airport
MQL     ^230.0^Mildura Airport
LRD     ^230.0^Laredo International Airport
MQM     ^230.0^Mardin Airport
HRK     ^230.0^Kharkiv International Airport
COU     ^230.0^Columbia Regional Airport
MQN     ^220.0^Mo i Rana Airport, Røssvoll
LDE     ^220.0^Tarbes-Lourdes-Pyrénées Airport
SUV     ^220.0^Nausori International Airport
WVB     ^220.0^Walvis Bay Airport
BHU     ^220.0^Bhavnagar Airport
YSJ     ^220.0^Saint John Airport
BBA     ^220.0^Balmaceda Airport
FAE     ^220.0^Vágar Airport
BSK     ^220.0^Biskra Airport
SJT     ^220.0^Mathis Field
UGC     ^220.0^Urgench International Airport
APL     ^220.0^Nampula Airport
MES     ^220.0^Medan Polonia International Airport
YDF     ^220.0^Deer Lake Regional Airport
LRT     ^220.0^Lorient - Lann-Bihoué
TYR     ^220.0^Tyler Pounds Field
KHG     ^210.0^Kashgar Airport
TOL     ^210.0^Toledo Express Airport
AOI     ^210.0^Ancona Falconara Airport
AFA     ^210.0^"San Rafael ""Santiago Germano"" Airport"
TLE     ^210.0^Tulear Airport
FCA     ^210.0^Glacier Park International Airport
XNB     ^210.0^Etihad Luxury Coach Bus Station
YKA     ^210.0^Kamloops Airport
UTT     ^210.0^Mthatha Airport
MBS     ^210.0^MBS International Airport
OME     ^210.0^Nome Airport
USN     ^210.0^Ulsan Airport
LDU     ^210.0^Lahad Datu Airport
BFS     ^210.0^Belfast International Airport
BLI     ^210.0^Bellingham International Airport
LBD     ^210.0^Khudjand International Airport
RGL     ^210.0^Piloto Civil Norberto Fernández International Airport
VPY     ^210.0^Chimoio
GIS     ^210.0^Gisborne Airport
RAE     ^210.0^Arar Domestic Airport
AZA     ^210.0^Phoenix-Mesa Gateway Airport
PCL     ^210.0^FAP Captain David Abenzur Rengifo International Airport
RES     ^210.0^Resistencia International Airport
IVC     ^210.0^Invercargill Airport
SCQ     ^200.0^Santiago de Compostela Airport
HTY     ^200.0^Hatay Airport
PXO     ^200.0^Porto Santo Airport
KDV     ^200.0^Vunisea Airport
SBY     ^200.0^Salisbury–Ocean City–Wicomico Regional Airport
ELH     ^200.0^North Eleuthera Airport
REL     ^200.0^Almirante Marcos A. Zar Airport
LAP     ^200.0^Manuel Márquez de León International Airport
IMP     ^200.0^Imperatriz
ACK     ^200.0^Nantucket Memorial Airport
DGT     ^200.0^Dumaguete–Sibulan Airport
SCW     ^190.0^Syktyvkar Airport
URC     ^190.0^Ürümqi Diwopu International Airport
CGB     ^190.0^Marechal Rondon International Airport
STW     ^190.0^Stavropol Shpakovskoye Airport
BGY     ^190.0^Il Caravaggio International Airport
SZZ     ^190.0^Szczecin-Goleniów Airport
MTS     ^190.0^Manzini - Matsapha Airport
DMS     ^190.0^Saptco Bus Station
ETZ     ^190.0^Metz-Nancy-Lorraine Airport
LSE     ^190.0^La Crosse Municipal Airport
MXL     ^190.0^General Rodolfo Sánchez Taboada International Airport
YXX     ^190.0^Abbotsford International Airport
ACY     ^190.0^Atlantic City International Airport
BDB     ^190.0^Bundaberg Airport
HUY     ^190.0^Humberside Airport
XYD     ^190.0^Gare de Lyon-Part-Dieu
TRG     ^190.0^Tauranga Airport
DPO     ^190.0^Devonport Airport
SIT     ^190.0^Sitka Rocky Gutierrez Airport
MHK     ^180.0^Manhattan Regional Airport
